"store_id","title","description","price","stock_quantity","status","rating","ai_match_score"
"fbde02bf-8a05-4390-ba65-ff5507872631","[Simulated] Anker 737 Power Bank (PowerCore 24K)","Ultra-high capacity power bank with 140W fast charging. Features a smart digital display.","12999","60","ACTIVE","4.7","92"
"fbde02bf-8a05-4390-ba65-ff5507872631","[Simulated] DJI Osmo Pocket 3","Pocket-sized gimbal camera featuring a powerful 1-inch CMOS sensor. 4K/120fps recording, active track 6.0.","45900","96","ACTIVE","4.7","92"
"fbde02bf-8a05-4390-ba65-ff5507872631","[Simulated] iPad Pro 12.9-inch M2","Astonishing performance. Incredibly advanced displays. Superfast wireless connectivity. Next-generation Apple Pencil features.","90000","47","ACTIVE","4.5","95"
"fbde02bf-8a05-4390-ba65-ff5507872631","[Simulated] iPhone 15 Pro Max 512GB","Titanium design, A17 Pro chip, customisable Action button, and the most powerful iPhone camera system ever.","118000","19","ACTIVE","4.5","95"
"fbde02bf-8a05-4390-ba65-ff5507872631","[Simulated] Keychron K2 Mechanical Keyboard","A 75% layout wireless mechanical keyboard with hot-swappable options, RGB backlighting, and Gateron switches.","8999","84","ACTIVE","4.7","92"
"fbde02bf-8a05-4390-ba65-ff5507872631","[Simulated] Logitech MX Master 3S Mouse","An iconic ergonomic mouse remastered. Quiet clicks, electromagnetic scroll wheel, 8K DPI sensor.","10995","74","ACTIVE","4.7","92"
"fbde02bf-8a05-4390-ba65-ff5507872631","[Simulated] MacBook Pro 16 M3 Max","The most advanced MacBook Pro yet. M3 Max chip, 36GB Unified Memory, 1TB SSD. Liquid Retina XDR display.","195000","43","ACTIVE","4.5","95"
"fbde02bf-8a05-4390-ba65-ff5507872631","[Simulated] RTX 4090 Founders Edition","The ultimate GeForce GPU. It brings an enormous leap in performance, efficiency, and AI-powered graphics.","162000","39","ACTIVE","4.5","95"
"fbde02bf-8a05-4390-ba65-ff5507872631","[Simulated] Samsung T7 Portable SSD 2TB","Superfast external storage with read speeds up to 1050MB/s. Shock-resistant design.","15999","55","ACTIVE","4.7","92"
"fbde02bf-8a05-4390-ba65-ff5507872631","[Simulated] Sony PlayStation 5 Pro","Experience the next level of gaming with the PlayStation 5 Pro. Features advanced ray tracing, 4K gaming, and ultra-high-speed SSD.","52000","12","ACTIVE","4.5","95"
"fbde02bf-8a05-4390-ba65-ff5507872631","[Simulated] Sony WH-1000XM5 ANC Headphones","Industry leading noise-canceling headphones with auto-NC optimizer, crystal clear hands-free calling.","24500","25","ACTIVE","4.5","95"
"fbde02bf-8a05-4390-ba65-ff5507872631","[Simulated] Xiaomi Smart Projector 2","Portable projector supporting up to 120-inch screen size. Full HD resolution, auto-focus, and Android TV.","39999","51","ACTIVE","4.7","92"
"fbde02bf-8a05-4390-ba65-ff5507872631","Aashirvaad Whole Wheat Atta 5kg","[Aashirvaad] High-quality whole wheat flour for soft and nutritious chapatis.","299","69","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","Accu-Chek Active Glucometer","[Accu-Chek] Reliable blood sugar monitoring device with fast results.","1299","50","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","Acer Predator Helios Neo 16","[Acer] High-performance gaming laptop designed for competitive gamers.","139999","39","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","Adidas Essentials Track Pants","[Adidas] Comfortable track pants suitable for training and casual wear.","2499","98","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","Adidas Grand Court Women","[Adidas] Classic lifestyle sneakers inspired by tennis heritage.","5499","75","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","Adidas Samba OG","[Adidas] Retro-inspired sneaker with classic design and durable leather upper.","10999","85","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","Adidas Ultraboost 5","[Adidas] Premium running shoes with responsive Boost cushioning and superior comfort.","18999","59","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","Adjustable Dumbbell Set","[Domyos] Versatile weight training set suitable for home workouts and strength building.","5999","48","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","Adjustable Hand Gripper","[Boldfit] Hand strength trainer with adjustable resistance levels.","299","66","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","Allen Solly Formal Shirt","[Allen Solly] Elegant formal shirt suitable for office and business occasions.","1499","66","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","Amazon Echo Dot 5th Gen","[Amazon] Compact smart speaker powered by Alexa voice assistant.","5499","99","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","Amazon Kindle Paperwhite","[Amazon] E-reader with glare-free display and weeks of battery life.","14999","75","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","American Tourister Backpack","[American Tourister] Spacious backpack designed for daily commuting and travel.","1999","91","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","Amul Butter 500g","[Amul] Creamy and delicious butter suitable for bread, cooking, and baking.","285","44","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","Amul Pure Ghee 1L","[Amul] Rich and aromatic pure cow ghee for cooking and traditional recipes.","699","50","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","Anker 737 Power Bank","[Anker] High-capacity power bank supporting fast charging technology.","11999","23","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","Apollo Pharmacy First Aid Kit","[Apollo] Comprehensive first aid kit containing essential medical supplies.","599","80","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","Apple AirPods Pro 2","[Apple] Premium wireless earbuds with adaptive noise cancellation.","24900","45","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","Apple iPhone 16 128GB","[Apple] Latest iPhone with improved battery life, powerful processor, and advanced photography features.","79900","67","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","Apple iPhone 16 Pro 256GB","[Apple] Premium flagship smartphone featuring an advanced camera system, powerful performance, and titanium design.","129900","95","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","Apple TV 4K","[Apple] Streaming device delivering premium entertainment experience.","14900","70","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","Apple Watch Series 10","[Apple] Advanced smartwatch featuring health tracking and fitness monitoring.","46900","15","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","Apsara Platinum Pencil Pack","[Apsara] Premium pencils offering smooth writing and durable lead quality.","60","43","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","Aqualogica Glow Sunscreen","[Aqualogica] Lightweight sunscreen with hydration benefits.","449","86","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","Armani Acqua di Gio","[Giorgio Armani] Fresh aquatic fragrance inspired by the Mediterranean sea.","8499","66","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","ASUS ROG Ally X","[ASUS] Portable gaming handheld powered by Windows gaming ecosystem.","79999","35","ACTIVE","0","0"
"fbde02bf-8a05-4390-ba65-ff5507872631","ASUS ROG Strix G16","[ASUS] Gaming laptop equipped with powerful graphics and advanced cooling system.","149999","28","ACTIVE","0","0"
